size,add,removeResource,removeResourceDate,usersFromResource,usersFromResourceDate,usersFromResourceDateRange,mostQueried,resourceFromUser,userConsultedResource
2,78,0,0,125,62,78,0,16,0
4,31,0,0,63,78,63,0,31,0
8,31,0,0,78,62,63,0,31,0
16,32,0,0,78,62,63,0,31,0
32,16,0,0,78,63,78,0,31,0
64,16,0,0,63,78,63,15,31,0
128,31,0,0,79,77,109,0,47,0
256,31,0,0,79,78,78,0,47,0
512,32,0,0,78,78,78,16,46,0
1024,78,0,15,78,125,110,0,94,16
2048,125,16,15,121,78,141,32,187,0
4096,203,31,62,156,110,125,63,359,16
8192,282,78,93,172,93,94,141,663,8
16384,485,156,109,156,94,109,219,1359,15
32768,672,250,62,172,93,110,297,3281,16
65536,781,297,16,172,93,125,329,8578,15
131072,672,281,0,187,110,140,625,16065,16
